sampleId,lat,long,continent,country,nPools,nFlies,nToUse,Date,SRA_Accession,SOURCE,DataType,TimeRange
"AU_Que_Isl_10_2014-03-15, AU_Que_Isl_1_2014-03-15, AU_Que_Isl_2_2014-03-15, AU_Que_Isl_3_2014-03-15, AU_Que_Isl_4_2014-03-15, AU_Que_Isl_5_2014-03-15, AU_Que_Isl_6_2014-03-15, AU_Que_Isl_7_2014-03-15, AU_Que_Isl_8_2014-03-15, AU_Que_Isl_9_2014-03-15, AU_Que_Isl_0_2014-03-15",-25.170000000000005,149.93000000000004,Oceania,Australia,11,1268,11,2014-03-15,"SRR8449032, SRR8449006, SRR8448981, SRR8448992, SRR8448962, SRR8448922, SRR8449014, SRR8448975, SRR8448950, SRR8448913, SRR8449032;SRR8449006;SRR8448981;SRR8448992;SRR8448962;SRR8448922;SRR8449014;SRR8448975;SRR8448950;SRR8448913",dest_plus,PoolSeq,0
"AU_Que_Que_1_2004-07-01, AU_Que_Que_2_2004-07-01",-16.927537,145.750821,Oceania,Australia,2,34,2,2004-07-01,"SRR1177952, SRR1177951",dest_plus,PoolSeq,0
"AU_Que_Yep_0_2014-05-16, AU_Que_Yep_10_2014-05-16, AU_Que_Yep_1_2014-05-16, AU_Que_Yep_2_2014-05-16, AU_Que_Yep_3_2014-05-16, AU_Que_Yep_4_2014-05-16, AU_Que_Yep_5_2014-05-16, AU_Que_Yep_6_2014-05-16, AU_Que_Yep_7_2014-05-16, AU_Que_Yep_8_2014-05-16, AU_Que_Yep_9_2014-05-16",-23.13,150.73,Oceania,Australia,11,1268,11,2014-05-16,"SRR8449033;SRR8449009;SRR8448980;SRR8448993;SRR8448963;SRR8448923;SRR8449013;SRR8448974;SRR8448951;SRR8448914, SRR8449033, SRR8449009, SRR8448980, SRR8448993, SRR8448963, SRR8448923, SRR8449013, SRR8448974, SRR8448951, SRR8448914",dest_plus,PoolSeq,0
"AU_Sou_MtG_8_2014-04-16, AU_Sou_MtG_9_2014-04-16, AU_Sou_MtG_0_2014-04-16, AU_Sou_MtG_10_2014-04-16, AU_Sou_MtG_1_2014-04-16, AU_Sou_MtG_2_2014-04-16, AU_Sou_MtG_3_2014-04-16, AU_Sou_MtG_4_2014-04-16, AU_Sou_MtG_5_2014-04-16, AU_Sou_MtG_6_2014-04-16, AU_Sou_MtG_7_2014-04-16",-37.82,140.77,Oceania,Australia,11,1268,11,2014-04-16,"SRR8448933, SRR8449055, SRR8449036;SRR8449046;SRR8448998;SRR8448943;SRR8449066;SRR8448920;SRR8449024;SRR8449004;SRR8448933;SRR8449055, SRR8449036, SRR8449046, SRR8448998, SRR8448943, SRR8449066, SRR8448920, SRR8449024, SRR8449004",dest_plus,PoolSeq,0
"AU_Tas_Hil_0_2014-04-16, AU_Tas_Hil_10_2014-04-16, AU_Tas_Hil_1_2014-04-16, AU_Tas_Hil_2_2014-04-16, AU_Tas_Hil_3_2014-04-16, AU_Tas_Hil_4_2014-04-16, AU_Tas_Hil_5_2014-04-16, AU_Tas_Hil_6_2014-04-16, AU_Tas_Hil_7_2014-04-16, AU_Tas_Hil_8_2014-04-16, AU_Tas_Hil_9_2014-04-16",-43.0,146.90000000000003,Oceania,Australia,11,1268,11,2014-04-16,"SRR8449029;SRR8449043;SRR8448984;SRR8448946;SRR8448969;SRR8448927;SRR8449021;SRR8448978;SRR8448936;SRR8448918, SRR8449029, SRR8449043, SRR8448984, SRR8448946, SRR8448969, SRR8448927, SRR8449021, SRR8448978, SRR8448936, SRR8448918",dest_plus,PoolSeq,0
"AU_Tas_Luc_0_2014-04-16, AU_Tas_Luc_10_2014-04-16, AU_Tas_Luc_1_2014-04-16, AU_Tas_Luc_2_2014-04-16, AU_Tas_Luc_3_2014-04-16, AU_Tas_Luc_4_2014-04-16, AU_Tas_Luc_5_2014-04-16, AU_Tas_Luc_6_2014-04-16, AU_Tas_Luc_7_2014-04-16, AU_Tas_Luc_8_2014-04-16, AU_Tas_Luc_9_2014-04-16",-41.23,146.98,Oceania,Australia,11,1268,11,2014-04-16,"SRR8449028;SRR8449042;SRR8448985;SRR8448947;SRR8448968;SRR8448926;SRR8449020;SRR8448979;SRR8448937;SRR8448917, SRR8449028, SRR8449042, SRR8448985, SRR8448947, SRR8448968, SRR8448926, SRR8449020, SRR8448979, SRR8448937, SRR8448917",dest_plus,PoolSeq,0
"AU_Tas_Tas_1_2004-07-01, AU_Tas_Tas_2_2004-07-01",-42.061824,146.738165,Oceania,Australia,2,30,2,2004-07-01,"SRR1177955, SRR1177953",dest_plus,PoolSeq,0
"AU_Vic_Ham_4_2014-05-16, AU_Vic_Ham_5_2014-05-16, AU_Vic_Ham_6_2014-05-16, AU_Vic_Ham_7_2014-05-16, AU_Vic_Ham_8_2014-05-16, AU_Vic_Ham_9_2014-05-16, AU_Vic_Ham_0_2014-05-16, AU_Vic_Ham_10_2014-05-16, AU_Vic_Ham_1_2014-05-16, AU_Vic_Ham_2_2014-05-16, AU_Vic_Ham_3_2014-05-16",-37.43,142.02,Oceania,Australia,11,1268,11,2014-05-16,"SRR8449065, SRR8448921, SRR8449025, SRR8449005, SRR8448932, SRR8449054, SRR8449037;SRR8449047;SRR8448999;SRR8448942;SRR8449065;SRR8448921;SRR8449025;SRR8449005;SRR8448932;SRR8449054, SRR8449037, SRR8449047, SRR8448999, SRR8448942",dest_plus,PoolSeq,0
"CA_New_StJ_0_2013-10-15, CA_New_StJ_10_2013-10-15, CA_New_StJ_1_2013-10-15, CA_New_StJ_2_2013-10-15, CA_New_StJ_3_2013-10-15, CA_New_StJ_4_2013-10-15, CA_New_StJ_5_2013-10-15, CA_New_StJ_6_2013-10-15, CA_New_StJ_7_2013-10-15, CA_New_StJ_8_2013-10-15, CA_New_StJ_9_2013-10-15",45.25,-66.06999999999998,North_America,Canada,11,1268,11,2013-10-15,"SRR8449030;SRR8448990;SRR8448987;SRR8448945;SRR8448960;SRR8448924;SRR8449016;SRR8448977;SRR8448939;SRR8448915, SRR8449030, SRR8448990, SRR8448987, SRR8448945, SRR8448960, SRR8448924, SRR8449016, SRR8448977, SRR8448939, SRR8448915",dest_plus,PoolSeq,0
"CA_Nov_Gas_8_2013-10-15, CA_Nov_Gas_9_2013-10-15, CA_Nov_Gas_0_2013-10-15, CA_Nov_Gas_10_2013-10-15, CA_Nov_Gas_1_2013-10-15, CA_Nov_Gas_2_2013-10-15, CA_Nov_Gas_3_2013-10-15, CA_Nov_Gas_4_2013-10-15, CA_Nov_Gas_5_2013-10-15, CA_Nov_Gas_6_2013-10-15, CA_Nov_Gas_7_2013-10-15",45.07999999999999,-64.37,North_America,Canada,11,1268,11,2013-10-15,"SRR8448938, SRR8448916, SRR8449031;SRR8448991;SRR8448986;SRR8448944;SRR8448961;SRR8448925;SRR8448919;SRR8448976;SRR8448938;SRR8448916, SRR8449031, SRR8448991, SRR8448986, SRR8448944, SRR8448961, SRR8448925, SRR8448919, SRR8448976",dest_plus,PoolSeq,0
